mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
370,0,1032,6652,-70.1922331,19.0390153,-1.0,576.0,7
370,0,1040,3483,-70.4590109,19.4691477,-1.0,500.0,7
370,0,1049,3323,-70.1161147,19.0892976,-1.0,500.0,8
370,0,11001,572,-69.8450395,18.4966521,-1.0,500.0,3
370,0,11001,573,-69.8457725,18.4998325,-1.0,500.0,2
370,0,11001,1912,-69.843983,18.5058865,-1.0,500.0,4
370,0,11001,1913,-69.843818,18.5090171,-1.0,500.0,5
370,0,11001,4111,-69.7776194,18.49254,-1.0,500.0,1
370,0,11001,4262,-69.7781617,18.4775216,-1.0,500.0,2
370,0,11001,4263,-69.7780106,18.4831041,-1.0,555.0,10
370,0,11001,5022,-69.8412257,18.5140041,-1.0,500.0,7
370,0,11001,10973,-69.8050842,18.4650698,-1.0,500.0,5
370,0,11001,11751,-69.778645,18.4683983,-1.0,500.0,1
370,0,11001,12032,-69.8439271,18.5000862,-1.0,500.0,6
370,0,11001,12033,-69.8438567,18.5037427,-1.0,500.0,2
370,0,11001,12692,-69.8128218,18.464933,-1.0,500.0,2
370,0,11001,12693,-69.8192085,18.4655064,-1.0,500.0,12
370,0,11001,12731,-69.7796683,18.4828261,-1.0,500.0,1
370,0,11001,19762,-69.8422322,18.5121408,-1.0,500.0,7
370,0,11001,21423,-69.8457317,18.499218,-1.0,500.0,6
370,0,11001,38001,-69.7776706,18.4988237,-1.0,552.0,51
370,0,11002,17853,-69.7776401,18.4988985,-1.0,500.0,12
370,0,11003,333,-69.90342,18.4775731,-1.0,500.0,2
370,0,11003,441,-69.895966,18.4822922,-1.0,500.0,2
370,0,11003,442,-69.8890899,18.4854637,-1.0,500.0,10
370,0,11003,443,-69.891276,18.4839321,-1.0,500.0,2
370,0,11003,491,-69.9011841,18.4886469,-1.0,500.0,9
370,0,11003,492,-69.9038133,18.4898067,-1.0,500.0,1
370,0,11003,493,-69.9032548,18.4879972,-1.0,500.0,2
370,0,11003,592,-69.89435,18.4968983,-1.0,500.0,1
370,0,11003,1803,-69.8958443,18.4960995,-1.0,500.0,12
370,0,11003,1832,-69.8899364,18.499901,-1.0,500.0,6
370,0,11003,4442,-69.915148,18.4846436,-1.0,500.0,3
370,0,11003,4651,-69.8879533,18.4862067,-1.0,500.0,7
370,0,11003,4771,-69.9009335,18.4837883,-1.0,500.0,10
370,0,11003,4772,-69.9039361,18.4822983,-1.0,500.0,15
370,0,11003,5181,-69.9064559,18.4822561,-1.0,500.0,4
370,0,11003,5182,-69.9110218,18.4822917,-1.0,500.0,18
370,0,11003,5403,-69.8973135,18.4807491,-1.0,500.0,2
370,0,11003,10243,-69.8929681,18.4978201,-1.0,500.0,10
370,0,11003,19422,-69.8977167,18.4802333,-1.0,500.0,1
370,0,11003,19423,-69.9022384,18.4818326,-1.0,570.0,40
370,0,11003,19921,-69.8987979,18.4935313,-1.0,500.0,3
370,0,11003,19922,-69.9011721,18.4873661,-1.0,500.0,12
370,0,11003,20713,-69.8856306,18.4865753,-1.0,500.0,3
370,0,11003,20991,-69.8765411,18.4889433,-1.0,500.0,2
370,0,11003,21032,-69.8980623,18.4940766,-1.0,500.0,4
370,0,11003,21081,-69.9065732,18.4819199,-1.0,500.0,15
370,0,11003,21171,-69.8931477,18.4840596,-1.0,500.0,3
370,0,11003,21173,-69.8961142,18.4823058,-1.0,500.0,2
370,0,11003,22252,-69.8960749,18.4951159,-1.0,1026.0,16
370,0,11004,10803,-69.9404487,18.5563434,-1.0,500.0,3
370,0,11004,11592,-69.9530513,18.5432066,-1.0,500.0,18
370,0,11004,11653,-69.9531614,18.543068,-1.0,500.0,9
370,0,11004,11654,-69.9460503,18.5520984,-1.0,500.0,3
370,0,11004,12431,-69.9512928,18.5230561,-1.0,500.0,1
370,0,11004,38981,-69.938713,18.55653,-1.0,500.0,15
370,0,11004,53822,-69.9297303,18.5546153,-1.0,500.0,72
370,0,11004,53823,-69.92916,18.5537867,-1.0,500.0,1
370,0,11005,381,-69.9546962,18.4819361,-1.0,500.0,2
370,0,11005,391,-69.9685948,18.4792433,-1.0,503.0,15
370,0,11005,392,-69.9672396,18.4792344,-1.0,500.0,8
370,0,11005,393,-69.966364,18.4793125,-1.0,500.0,3
370,0,11005,471,-69.9437339,18.4815469,-1.0,500.0,4
370,0,11005,551,-69.9903197,18.4964132,-1.0,500.0,3
370,0,11005,553,-69.9835626,18.4913053,-1.0,500.0,2
370,0,11005,554,-69.9922132,18.4978207,-1.0,943.0,20
370,0,11005,4292,-69.9387311,18.4842659,-1.0,500.0,3
370,0,11005,4293,-69.9412547,18.4838468,-1.0,500.0,4
370,0,11005,4701,-69.951935,18.4820533,-1.0,500.0,1
370,0,11005,4702,-69.9527943,18.4819993,-1.0,500.0,2
370,0,11005,4862,-69.9345347,18.483164,-1.0,500.0,3
370,0,11005,5062,-69.9607696,18.480502,-1.0,656.0,4
370,0,11005,5111,-69.9416477,18.4770512,-1.0,500.0,3
370,0,11005,5112,-69.9454434,18.4795837,-1.0,500.0,10
370,0,11005,5113,-69.9449681,18.4818717,-1.0,500.0,10
370,0,11005,5191,-69.9153356,18.48616,-1.0,500.0,2
370,0,11005,5802,-69.9694977,18.4785868,-1.0,500.0,4
370,0,11005,10902,-69.9727628,18.5070733,-1.0,500.0,1
370,0,11005,10903,-69.9750919,18.5067477,-1.0,500.0,3
370,0,11005,11182,-69.9686408,18.467243,-1.0,500.0,11
370,0,11005,11183,-69.9678283,18.4752927,-1.0,500.0,3
370,0,11005,11521,-69.9552351,18.5170851,-1.0,1354.0,7
370,0,11005,11543,-69.9402482,18.4842379,-1.0,500.0,2
370,0,11005,12901,-69.9372673,18.4839051,-1.0,500.0,2
370,0,11005,12902,-69.9314709,18.4830133,-1.0,820.0,14
370,0,11005,12903,-69.945865,18.4823489,-1.0,500.0,3
370,0,11005,13511,-69.9404775,18.4748566,-1.0,500.0,7
370,0,11005,14771,-69.9621747,18.5093263,-1.0,500.0,4
370,0,11005,14772,-69.9629599,18.5080903,-1.0,610.0,14
370,0,11005,17732,-69.916509,18.4855108,-1.0,500.0,5
370,0,11005,17803,-69.9367257,18.4837524,-1.0,500.0,2
370,0,11005,19912,-69.9456963,18.4822157,-1.0,564.0,21
370,0,11005,19913,-69.9502623,18.4821339,-1.0,589.0,25
370,0,11005,20951,-69.9378446,18.4840192,-1.0,500.0,4
370,0,11005,36491,-69.9801788,18.5063567,-1.0,801.0,10
370,0,11005,36492,-69.9863673,18.5069557,-1.0,614.0,17
370,0,11006,651,-69.994041,18.5075136,-1.0,500.0,3
370,0,11006,652,-69.9994398,18.5032935,-1.0,625.0,14
370,0,11006,653,-70.0026602,18.5060577,-1.0,839.0,29
370,0,11006,741,-70.0063909,18.509154,-1.0,958.0,20
370,0,11006,743,-70.0087611,18.5134082,-1.0,500.0,8
370,0,11006,1551,-69.987664,18.480596,-1.0,500.0,6
370,0,11006,1552,-69.9887038,18.4760843,-1.0,500.0,129
370,0,11006,1992,-69.9817872,18.4837892,-1.0,500.0,10
370,0,11006,1993,-69.9868382,18.4823975,-1.0,500.0,60
370,0,11006,2221,-70.0581402,18.5576034,-1.0,500.0,5
370,0,11006,2223,-70.0761097,18.5641585,-1.0,1996.0,9
370,0,11006,2231,-70.1201208,18.5907255,-1.0,1533.0,496
370,0,11006,2232,-70.1597045,18.6180923,-1.0,500.0,14
370,0,11006,2951,-70.1000237,18.5721982,-1.0,845.0,20
370,0,11006,2953,-70.1014258,18.5724317,-1.0,500.0,18
370,0,11006,4783,-70.0100935,18.5159108,-1.0,735.0,28
370,0,11006,6301,-70.1447046,18.5980508,-1.0,500.0,2
370,0,11006,11131,-70.0135411,18.5345407,-1.0,500.0,20
370,0,11006,11133,-70.0166156,18.535795,-1.0,1017.0,11
370,0,11006,11141,-70.0395666,18.5459042,-1.0,847.0,16
370,0,11006,11143,-70.0426917,18.5472878,-1.0,551.0,2
370,0,11006,12171,-69.9798239,18.4878698,-1.0,500.0,3
370,0,11006,12381,-69.9990583,18.5013383,-1.0,500.0,1
370,0,11006,13383,-70.0381833,18.5451475,-1.0,500.0,4
370,0,11006,17371,-70.0124555,18.5344229,-1.0,500.0,2
370,0,11006,17372,-70.0112917,18.5288111,-1.0,500.0,1
370,0,11006,17373,-70.0117774,18.5301628,-1.0,1759.0,20
370,0,11006,17631,-70.0000582,18.5038081,-1.0,500.0,4
370,0,11006,17782,-70.0877927,18.5671965,-1.0,500.0,15
370,0,11006,17783,-70.0917827,18.5683363,-1.0,500.0,5
