mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
360,4,43857,10742,102.1568956,54.1012482,-1.0,500.0,2
360,4,43857,16691,102.1565944,54.0968487,-1.0,500.0,2
360,56,17034,9929,-46.1818934,-23.5153757,-1.0,500.0,4
360,66,20974,25627,-46.4262033,-23.4763249,-1.0,500.0,1
360,110,800,8112,-61.224746704102,13.15544128418,-1.0,1000.0,1
360,110,800,8304,-61.201400756836,13.136215209961,-1.0,1000.0,1
360,110,801,24024,-61.153335571289,13.162307739258,-1.0,1000.0,1
360,110,801,24025,-61.153335571289,13.162307739258,-1.0,1000.0,1
360,110,801,24044,-61.274185180664,13.228225708008,-1.0,1000.0,1
360,110,801,24045,-61.274185180664,13.228225708008,-1.0,1000.0,1
360,110,801,24046,-61.274185180664,13.228225708008,-1.0,1000.0,1
360,110,801,24054,-61.221373,13.155979,-1.0,1000.0,46
360,110,801,24055,-61.219968,13.154178,-1.0,1000.0,50
360,110,801,24056,-61.221835,13.155496,-1.0,1093.0,25
360,110,801,24064,-61.241913,13.256378,-1.0,1000.0,2
360,110,801,24065,-61.241226196289,13.25569152832,-1.0,1000.0,1
360,110,801,24071,-61.235733032227,13.009872436523,-1.0,1000.0,1
360,110,801,24072,-61.239852905273,13.004379272461,-1.0,1000.0,1
360,110,801,24073,-61.238479614258,13.008499145508,-1.0,1000.0,1
360,110,801,24074,-61.235733,13.019485,-1.0,1000.0,2
360,110,801,24075,-61.239852905273,13.005752563477,-1.0,1000.0,1
360,110,801,24076,-61.239852905273,13.004379272461,-1.0,1000.0,1
360,110,801,24084,-61.255508,13.194168,-1.0,1000.0,5
360,110,801,24085,-61.259995,13.194351,-1.0,1000.0,6
360,110,801,24094,-61.234359741211,13.170547485352,-1.0,1000.0,1
360,110,801,24095,-61.235733032227,13.171920776367,-1.0,1000.0,1
360,110,801,24096,-61.235733032227,13.171920776367,-1.0,1000.0,1
360,110,801,24101,-61.226119995117,13.158187866211,-1.0,1000.0,5
360,110,801,24103,-61.225605,13.156128,-1.0,1000.0,8
360,110,801,24104,-61.222687,13.156815,-1.0,1000.0,6
360,110,801,24106,-61.223212,13.156653,-1.0,1000.0,17
360,110,801,24112,-61.364822387695,12.629470825195,-1.0,1000.0,1
360,110,801,24121,-61.154708862305,13.149948120117,-1.0,1000.0,1
360,110,801,24125,-61.364822387695,12.629470825195,-1.0,1000.0,1
360,110,801,24134,-61.153335571289,13.317489624023,-1.0,1000.0,1
360,110,801,24135,-61.135482788086,13.22135925293,-1.0,1000.0,1
360,110,801,24136,-61.150589,13.255692,-1.0,1000.0,2
360,110,801,24151,-61.206207,13.159561,-1.0,1000.0,2
360,110,801,24152,-61.217331,13.148644,-1.0,1000.0,20
360,110,801,24153,-61.22303,13.163166,-1.0,1000.0,8
360,110,801,24154,-61.210523,13.158188,-1.0,1000.0,14
360,110,801,24155,-61.216095,13.152008,-1.0,1107.0,50
360,110,801,24156,-61.221258,13.155924,-1.0,1000.0,37
360,110,801,24159,-61.228866577148,13.159561157227,-1.0,1000.0,1
360,110,801,24164,-61.195907592773,13.141708374023,-1.0,1000.0,1
360,110,801,24165,-61.198654174805,13.141708374023,-1.0,1000.0,1
360,110,801,24166,-61.208267211914,13.163681030273,-1.0,1000.0,1
360,110,801,24181,-61.337392,12.750326,-1.0,27804.0,3
360,110,801,24184,-61.284571,12.897961,-1.0,31098.0,2
360,110,801,24194,-61.154708862305,13.149948120117,-1.0,1000.0,1
360,110,801,24195,-61.154708862305,13.149948120117,-1.0,1000.0,1
360,110,801,24196,-61.154708862305,13.149948120117,-1.0,1000.0,1
360,110,801,24201,-61.220127,13.154318,-1.0,1000.0,11
360,110,801,24202,-61.224289,13.156586,-1.0,1000.0,6
360,110,801,24203,-61.225176,13.158445,-1.0,1000.0,16
360,110,801,24204,-61.220872,13.154755,-1.0,1000.0,28
360,110,801,24205,-61.219815,13.153569,-1.0,1000.0,44
360,110,801,24206,-61.223303,13.156498,-1.0,1000.0,39
360,110,801,24215,-61.270065307617,13.204879760742,-1.0,1000.0,2
360,110,801,24216,-61.270065307617,13.204879760742,-1.0,1000.0,3
360,110,801,24225,-61.135482788086,13.22135925293,-1.0,1000.0,1
360,110,801,24234,-61.135482788086,13.22135925293,-1.0,1000.0,1
360,110,801,24235,-61.153335571289,13.162307739258,-1.0,1000.0,1
360,110,801,24236,-61.135482788086,13.22135925293,-1.0,1000.0,1
360,110,801,24253,-61.217880249023,13.024978637695,-1.0,1000.0,1
360,110,801,24254,-61.217880249023,13.026351928711,-1.0,1000.0,1
360,110,801,24256,-61.200027,13.150864,-1.0,1000.0,3
360,110,801,24261,-61.217880249023,13.026351928711,-1.0,1000.0,1
360,110,801,24263,-61.217880249023,13.026351928711,-1.0,1000.0,1
360,110,801,24264,-61.215134,13.073044,-1.0,5200.0,2
360,110,801,24265,-61.217880249023,13.026351928711,-1.0,1000.0,1
360,110,801,24266,-61.217880249023,13.026351928711,-1.0,1000.0,1
360,110,801,24271,-61.186753,13.167343,-1.0,3308.0,3
360,110,801,24272,-61.175308,13.153381,-1.0,1000.0,2
