mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
736,0,116,34082,-60.75502,-17.8738617,-1.0,500.0,1
736,0,116,34083,-60.7606429,-17.8734009,-1.0,582.0,9
736,0,116,34093,-59.8695601,-18.2650197,-1.0,500.0,3
736,0,215,20431,-64.3287682,-17.195602,-1.0,5450.0,99
736,0,215,20432,-64.2477237,-17.2658444,-1.0,8219.0,126
736,0,215,20462,-65.1739953,-16.9949825,-1.0,1294.0,14
736,0,215,20471,-65.2241528,-16.9938463,-1.0,1413.0,11
736,0,303,30083,-63.1747017,-17.7570261,-1.0,500.0,1
736,0,303,30152,-63.1633602,-17.7517255,-1.0,500.0,2
736,0,303,30213,-63.1964017,-17.7623949,-1.0,500.0,4
736,0,303,30383,-63.2254411,-17.7798953,-1.0,753.0,14
736,0,303,30422,-63.1960891,-17.7677171,-1.0,500.0,2
736,0,303,30523,-63.2265888,-17.7763096,-1.0,543.0,24
736,0,303,30682,-63.167403,-17.7462232,-1.0,500.0,9
736,0,303,30821,-63.2247917,-17.783581,-1.0,500.0,5
736,0,303,30822,-63.2247784,-17.7827853,-1.0,500.0,9
736,0,303,31092,-63.2126917,-17.7534027,-1.0,1348.0,5
736,0,303,31341,-63.2015253,-17.759499,-1.0,500.0,6
736,0,303,31342,-63.2012076,-17.7619938,-1.0,500.0,5
736,0,303,31343,-63.2043177,-17.75833,-1.0,982.0,21
736,0,303,31721,-63.1934018,-17.7708138,-1.0,500.0,14
736,0,303,31901,-63.2245642,-17.7365405,-1.0,974.0,16
736,0,303,31902,-63.2239867,-17.7804233,-1.0,500.0,1
736,0,303,31903,-63.2698668,-17.7952906,-1.0,3061.0,15
736,0,304,30171,-63.1765835,-17.8217703,-1.0,500.0,3
736,0,304,30172,-63.1787764,-17.8284068,-1.0,500.0,3
736,0,304,30283,-63.2479947,-17.8232464,-1.0,684.0,12
736,0,304,30361,-63.2907302,-17.8259844,-1.0,500.0,4
736,0,304,30363,-63.2931158,-17.8565966,-1.0,3443.0,6
736,0,304,30371,-63.1791982,-17.7939333,-1.0,500.0,3
736,0,304,30432,-63.2112365,-17.8109648,-1.0,500.0,8
736,0,304,30434,-63.2208637,-17.8043732,-1.0,500.0,4
736,0,304,30493,-63.3305998,-17.8933466,-1.0,500.0,3
736,0,304,30503,-63.1877918,-17.7869675,-1.0,500.0,5
736,0,304,30643,-63.2111533,-17.8110475,-1.0,500.0,2
736,0,304,30703,-63.1923907,-17.7758911,-1.0,500.0,3
736,0,304,30771,-63.1630115,-17.8218183,-1.0,500.0,4
736,0,304,30833,-63.2270068,-17.8102709,-1.0,500.0,7
736,0,304,30841,-63.2559887,-17.8228397,-1.0,500.0,3
736,0,304,30842,-63.2468033,-17.8538244,-1.0,500.0,1
736,0,304,31123,-63.2209853,-17.8930738,-1.0,500.0,4
736,0,304,31141,-63.1287497,-17.9084098,-1.0,2293.0,10
736,0,304,31143,-63.1699525,-17.873871,-1.0,500.0,4
736,0,304,31153,-63.2216717,-17.7393417,-1.0,500.0,2
736,0,304,31501,-63.2268639,-17.7723289,-1.0,500.0,5
736,0,304,31503,-63.2214511,-17.8049261,-1.0,500.0,1
736,0,304,31561,-63.1985873,-17.8516267,-1.0,500.0,5
736,0,304,31591,-63.2834651,-17.8153849,-1.0,500.0,3
736,0,304,31631,-63.3030056,-17.8406272,-1.0,4031.0,7
736,0,304,31871,-63.149466,-17.8414788,-1.0,810.0,21
736,0,304,31872,-63.144358,-17.8452367,-1.0,500.0,2
736,0,304,31881,-63.1223355,-17.9158804,-1.0,500.0,9
736,0,304,31883,-63.1719299,-17.9031611,-1.0,500.0,10
