mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
212,1,100,21510,21.142588,42.64769,-1.0,1000.0,1
212,1,100,22610,21.155251,42.658466,-1.0,1000.0,1
212,1,100,30590,21.164291,42.672401,-1.0,1000.0,1
212,1,100,31580,21.163292,42.662464,-1.0,1000.0,1
212,1,100,33091,21.159569,42.648033,-1.0,1000.0,1
212,1,100,76719,21.159492,42.648048,-1.0,1000.0,1
212,1,102,0,21.473019,42.455261,-1.0,1000.0,2
212,1,102,11492,21.473013,42.455261,-1.0,1000.0,2
212,1,102,11512,7.4233245849609,43.691940307617,-1.0,1000.0,1
212,1,102,11612,21.455929,42.4728254,-1.0,500.0,51
212,1,102,11712,21.5006507,42.4876937,-1.0,2730.0,16
212,1,102,11812,21.50393,42.48764,-1.0,3765.0,58
212,1,102,11912,21.5139195,42.4917026,-1.0,3385.0,54
212,1,102,14012,21.5355249,42.4881285,-1.0,2166.0,127
212,1,102,15712,21.216501,42.890118,-1.0,1000.0,1
212,1,102,17212,21.5352765,42.5143979,-1.0,500.0,29
212,1,102,18982,21.480175,42.4739544,-1.0,500.0,1
212,1,102,21212,21.4505562,42.4610822,-1.0,1344.0,105
212,1,102,21612,21.4564817,42.4685697,-1.0,2231.0,1111
212,1,102,21812,21.5014052,42.4858626,-1.0,1994.0,52
212,1,102,24012,21.5125702,42.488756,-1.0,4134.0,150
212,1,102,30992,21.4556558,42.4687209,-1.0,1472.0,613
212,1,102,31812,21.477362,42.4731927,-1.0,2490.0,109
212,1,102,34612,21.223835,42.875708,-1.0,3773.0,3
212,1,102,35811,21.10896,42.586645,-1.0,1000.0,2
212,1,102,37012,21.431287,42.4692158,-1.0,2819.0,234
212,1,103,144193,21.141621,42.375782,-1.0,1000.0,1
212,1,103,144261,21.205126,42.333382,-1.0,1000.0,6
212,1,103,877571,21.1472269,42.6239426,-1.0,500.0,1
212,1,103,1126659,21.125476,42.392162,-1.0,1000.0,6
212,1,103,1132034,21.248498,42.235806,-1.0,1000.0,8
212,1,103,1134083,21.128037,42.388153,-1.0,1000.0,11
212,1,103,1136130,20.88725,42.413302,-1.0,3617.0,21
212,1,104,201859,20.763109,42.240201,-1.0,1000.0,3
212,1,104,361218,20.730243,42.214809,-1.0,1000.0,3
212,1,104,361219,20.729719,42.214981,-1.0,1000.0,1
212,1,104,362499,20.730301,42.215298,-1.0,1000.0,1
212,1,106,12215,20.657329,42.3945973,-1.0,500.0,3
212,1,106,14615,20.6768257,42.3974378,-1.0,822.0,34
212,1,106,14715,20.6569169,42.3996748,-1.0,1323.0,6
212,1,106,15615,20.5408448,42.412701,-1.0,500.0,2
212,1,106,15685,20.5383645,42.4106121,-1.0,500.0,10
212,1,106,17185,20.5386013,42.3878769,-1.0,1119.0,9
212,1,106,17615,20.754725,42.490323,-1.0,8811.0,4
212,1,106,18815,20.5532026,42.3570382,-1.0,500.0,2
212,1,106,18885,20.5800873,42.3272034,-1.0,4068.0,14
212,1,106,18985,20.603851,42.433292,-1.0,2712.0,26
212,1,106,19385,20.5806189,42.33651,-1.0,500.0,1
212,1,106,22285,20.6400413,42.3903364,-1.0,1162.0,8
212,1,106,22609,20.591777,42.542675,-1.0,500.0,2
212,1,106,22815,20.42695,42.381165,-1.0,1000.0,1
212,1,106,22985,20.42695,42.381165,-1.0,1000.0,1
212,1,106,24615,20.6704409,42.3983067,-1.0,1157.0,21
212,1,106,24715,20.6535055,42.4004232,-1.0,500.0,3
212,1,106,26085,20.617874,42.326752,-1.0,1000.0,1
212,1,106,27185,20.5282335,42.3587365,-1.0,1506.0,2
212,1,106,27615,20.715689,42.454605,-1.0,1000.0,1
212,1,106,28685,20.5837712407407,42.3275867222222,-1.0,1320.25925925926,27
212,1,106,28915,20.579125,42.4096728,-1.0,500.0,8
212,1,106,29385,20.5747054,42.3412365,-1.0,608.0,2
212,1,106,32215,20.6435991,42.4179221,-1.0,1610.0,14
212,1,106,34615,20.6681959,42.3981323,-1.0,981.0,18
212,1,106,36085,20.5945296,42.333525,-1.0,1631.0,5
212,1,106,36815,20.5526133,42.3571969,-1.0,500.0,4
212,1,106,36885,20.628084,42.31943005,-1.0,975.0,4
212,1,106,37615,20.6370433,42.3866278,-1.0,500.0,1
212,1,106,38385,20.427161,42.381382,-1.0,1000.0,2
212,1,106,38885,20.5005292,42.4284487,-1.0,8626.0,5
212,1,106,38915,20.571112,42.4156903,-1.0,1651.0,9
212,1,106,38985,20.5765353,42.4142263,-1.0,1679.0,65
212,1,106,39385,20.5594591,42.3545166,-1.0,1162.0,7
212,1,106,47615,20.710374,42.456036,-1.0,5640.0,11
212,1,107,11415,20.7119126,42.2323922,-1.0,500.0,14
212,1,107,11485,20.7131469,42.2314155,-1.0,500.0,21
212,1,107,11915,20.7253667,42.2208928,-1.0,500.0,1
212,1,107,11985,20.7256451,42.2209431,-1.0,574.0,19
212,1,107,12185,20.7178646,42.2346038,-1.0,15348.0,9
212,1,107,12385,20.8154547,42.3568948,-1.0,1065.0,25
212,1,107,12415,20.8465849,42.378486,-1.0,2231.0,21
212,1,107,13485,20.7255682,42.2193122,-1.0,500.0,19
212,1,107,13795,20.7264147,42.2167393,-1.0,846.0,12
212,1,107,13815,20.74026352,42.22004176,-1.0,795.2,5
212,1,107,13885,20.74,42.2160517,-1.0,500.0,21
212,1,107,14115,20.7387031,42.2096487,-1.0,500.0,3
212,1,107,14215,20.745213,42.212931,-1.0,1000.0,2
212,1,107,14315,20.7417,42.2160098,-1.0,500.0,18
212,1,107,14395,20.7425834,42.2167863142857,-1.0,571.428571428571,7
212,1,107,14515,20.740789,42.208923,-1.0,1000.0,1
212,1,107,14595,20.741665,42.2098538,-1.0,500.0,2
212,1,107,14995,20.829171,42.362147,-1.0,1000.0,3
212,1,107,15085,20.67940524,42.271272,-1.0,1320.0,5
212,1,107,15115,20.550405,42.3570106,-1.0,500.0,1
212,1,107,15315,20.8478334671533,42.3807809562044,-1.0,1901.67883211679,137
212,1,107,15985,20.77095,42.3559711,-1.0,500.0,1
212,1,107,16315,20.704481,42.449838,-1.0,1000.0,19
212,1,107,16385,20.78622585,42.42747815,-1.0,750.0,2
212,1,107,17715,20.73789,42.335047,-1.0,8920.0,20
212,1,107,17785,20.6821485555556,42.308854537037,-1.0,9042.66666666667,27
212,1,107,17985,20.8554014117647,42.4237168235294,-1.0,2418.23529411765,17
212,1,107,18195,20.7248078,42.2539018,-1.0,1083.0,19
212,1,107,19085,20.718602,42.201365,-1.0,1000.0,3
212,1,107,19185,20.719017,42.195881,-1.0,1000.0,1
212,1,107,19585,20.6909867777778,42.235743537037,-1.0,2269.48148148148,27
212,1,107,19615,20.7613533,42.2032965,-1.0,4696.0,75
212,1,107,20715,20.7495273,42.3691292,-1.0,3238.0,25
212,1,107,21415,20.7095477,42.2311373,-1.0,3850.0,20
212,1,107,21485,20.6986145,42.228341,-1.0,2962.0,45
212,1,107,21615,20.7401840833333,42.21665325,-1.0,2071.66666666667,6
212,1,107,21685,20.737727,42.21072,-1.0,2024.0,3
212,1,107,21815,20.7408653,42.2146614,-1.0,2208.0,15
212,1,107,21885,20.7420198,42.2140633,-1.0,500.0,2
212,1,107,21985,20.718289,42.199018,-1.0,1000.0,7
212,1,107,22015,20.7359054545455,42.2163269090909,-1.0,1510.0,11
212,1,107,22085,20.7327467,42.2240428,-1.0,500.0,1
212,1,107,22115,20.724328,42.2015515,-1.0,2176.0,28
212,1,107,22315,20.8051832,42.3513844,-1.0,1700.0,13
212,1,107,23315,20.746473,42.217491,-1.0,1000.0,1
212,1,107,23395,20.7260652041667,42.2063128916667,-1.0,1065.16666666667,24
212,1,107,23485,20.7251624,42.2160917,-1.0,919.0,21
212,1,107,23515,20.7381314,42.2210502,-1.0,500.0,2
212,1,107,23615,20.740599,42.220905,-1.0,1000.0,1
212,1,107,24095,20.727357,42.218065,-1.0,500.0,3
212,1,107,24195,20.733992,42.209686,-1.0,1000.0,1
212,1,107,24215,20.7397446285714,42.2094941142857,-1.0,571.428571428571,7
212,1,107,24315,20.7431155,42.2129142,-1.0,500.0,8
212,1,107,24395,20.7441468,42.2130321,-1.0,864.0,25
212,1,107,24515,20.737995,42.206936,-1.0,1000.0,1
212,1,107,24995,20.8270144,42.3617683,-1.0,500.0,1
212,1,107,25015,20.6828371333333,42.2562568,-1.0,666.666666666667,3
212,1,107,26315,20.7110048652174,42.4259296478261,-1.0,2352.34782608696,23
212,1,107,27415,20.6973385,42.381496,-1.0,3335.0,34
212,1,107,27915,20.8614803,42.4002232,-1.0,1997.0,60
212,1,107,28015,20.720391,42.199488,-1.0,1183.0,17
212,1,107,28195,20.723098,42.2472207,-1.0,734.0,10
212,1,107,29515,20.718812,42.195565,-1.0,1000.0,4
212,1,107,31415,20.7067856,42.2388206,-1.0,1970.0,28
212,1,107,31485,20.7018221897436,42.2394641025641,-1.0,2232.5641025641,78
212,1,107,31585,20.731152,42.204861,-1.0,1000.0,1
212,1,107,31615,20.7413779,42.2242151,-1.0,2084.0,12
212,1,107,31715,20.741278,42.2459491,-1.0,1489.0,4
212,1,107,31815,20.7386511,42.2177707,-1.0,500.0,3
212,1,107,32085,20.7178804,42.227663,-1.0,500.0,5
212,1,107,32485,20.8170224,42.3591441,-1.0,810.0,30
212,1,107,33315,20.7270739,42.2185148,-1.0,500.0,4
212,1,107,33395,20.7290789,42.2152708,-1.0,500.0,4
212,1,107,33485,20.7236743,42.2168102,-1.0,500.0,2
212,1,107,33515,20.7258872,42.221165,-1.0,500.0,1
212,1,107,33715,20.719934,42.201488,-1.0,1000.0,1
212,1,107,33815,20.7343822,42.2150488,-1.0,500.0,11
212,1,107,33885,20.728665,42.2156167,-1.0,500.0,1
212,1,107,33915,20.7439448333333,42.2171464166667,-1.0,583.333333333333,6
212,1,107,33985,20.7410578,42.2160355,-1.0,500.0,19
212,1,107,34095,20.7253778,42.2206928,-1.0,500.0,1
212,1,107,34315,20.741458,42.2159307,-1.0,500.0,8
212,1,107,34395,20.7404714,42.2155655,-1.0,500.0,6
212,1,107,34595,20.7341888,42.2078817,-1.0,500.0,12
212,1,107,34995,20.825113,42.361459,-1.0,1000.0,10
212,1,107,35115,20.7599661,42.2366078,-1.0,500.0,1
212,1,107,35185,20.7579663,42.2338308,-1.0,1094.0,9
212,1,107,35315,20.8169184869565,42.398875573913,-1.0,4657.91304347826,46
212,1,107,35915,20.758827,42.3694392,-1.0,1170.0,27
212,1,107,36715,20.728705,42.3750583,-1.0,500.0,1
212,1,107,38115,20.7099468,42.2456367,-1.0,1142.0,27
212,1,107,38195,20.7148262,42.2493858,-1.0,660.0,34
212,1,107,39515,20.7438794,42.269955,-1.0,500.0,18
212,1,107,40215,20.92127082,42.43784835,-1.0,950.0,30
212,1,107,40615,20.700479,42.448886,-1.0,1000.0,69
212,1,107,40685,20.703114,42.449448,-1.0,1000.0,3
212,1,107,50215,20.8714193,42.4066529,-1.0,2255.0,3
212,1,107,50615,20.704506,42.449879,-1.0,1000.0,1
212,1,107,60215,20.8607978554455,42.4157720415842,-1.0,8871.92079207921,101
212,1,107,201819,20.865523,42.401656,-1.0,1000.0,7
212,1,107,1386498,20.423128,42.362789,-1.0,1000.0,1
212,1,107,1386499,20.40852,42.370224,-1.0,1000.0,1
212,1,107,1391618,20.423128,42.362789,-1.0,1000.0,1
212,1,203,10413,21.1498491,42.3853498,-1.0,1267.0,415
212,1,203,10513,21.1672249,42.3834737,-1.0,1508.0,34
