mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
362,1,23324,37143042,-102.12474,21.364768,-1.0,500.0,1
362,51,1,1002,-63.084182739258,18.066329956055,-1.0,1000.0,1
362,51,1,2001,-63.05924,18.076764,-1.0,7633.0,456
362,51,1,2002,-63.104658,18.060998,-1.0,3480.0,154
362,51,1,3001,-63.026504516602,18.091049194336,-1.0,1000.0,1
362,51,1,3002,-63.026504516602,18.091049194336,-1.0,1000.0,1
362,51,1,3003,-63.029251098633,18.092422485352,-1.0,1000.0,1
362,51,1,6002,-63.128275,18.050096,-1.0,1525.0,56
362,51,1,11002,-63.117061,18.047104,-1.0,2255.0,17
362,51,1,14003,-63.025131225586,18.091049194336,-1.0,1000.0,1
362,51,1,18001,-63.025131225586,18.091049194336,-1.0,1000.0,1
362,51,1,41002,-63.134995,18.057175,-1.0,1000.0,3
362,51,2,11011,-63.088302612305,18.003158569336,-1.0,1000.0,1
362,51,11,1103,-63.080063,18.080063,-1.0,1000.0,3
362,51,11,2103,-63.085556030273,18.071823120117,-1.0,1000.0,1
362,51,11,7103,-63.027877807617,18.080062866211,-1.0,1000.0,2
362,51,100,10752,-63.026504516602,18.091049194336,-1.0,1000.0,1
362,51,123,13569,-63.120414,18.041834,-1.0,1000.0,39
362,51,123,13570,-63.1186,18.040097,-1.0,1000.0,34
362,51,123,13571,-63.121817,18.043459,-1.0,1000.0,7
362,51,123,13572,-63.114471,18.048354,-1.0,1623.0,13
362,51,123,13573,-63.119492,18.040749,-1.0,1000.0,6
362,51,123,13574,-63.121858,18.043499,-1.0,1000.0,3
362,51,123,26369,-63.043167,18.026609,-1.0,1000.0,19
362,51,123,26370,-63.044248,18.024973,-1.0,1609.0,37
362,51,123,26371,-63.042053,18.025162,-1.0,1000.0,10
362,51,123,31489,-63.1011,18.042011,-1.0,3113.0,112
362,51,123,31490,-64.2826999695652,18.9582809413043,-1.0,967.391304347826,46
362,51,123,31491,-63.114566,18.045852,-1.0,2748.0,134
362,51,123,31492,-63.0938930666667,18.0456806,-1.0,2508.26666666667,15
362,51,123,31493,-63.109184,18.042562,-1.0,1000.0,4
362,51,123,31494,-63.111499,18.04485,-1.0,2741.0,21
362,51,123,34051,-63.015289,18.078447,-1.0,1000.0,1
362,51,123,36610,-63.038766,18.013618,-1.0,1000.0,16
362,51,123,36613,-63.038441,18.013767,-1.0,1000.0,9
362,51,123,41729,-63.066418,18.027484,-1.0,3206.0,103
362,51,123,41730,-63.063356,18.02198,-1.0,1000.0,2
362,51,123,41731,-63.074157,18.027982,-1.0,1468.0,200
362,51,123,49409,-63.034904,18.029742,-1.0,1003.0,9
362,51,123,49410,-63.043537,18.026854,-1.0,1000.0,3
362,51,123,54532,-63.082296,18.03882,-1.0,1624.0,23
362,51,123,54533,-63.093698,18.035992,-1.0,2031.0,25
362,51,123,54534,-63.1030477395833,18.0462630416667,-1.0,3128.59375,96
362,51,123,62209,-63.051016,18.026338,-1.0,1000.0,24
362,51,123,62210,-63.05592,18.02426,-1.0,1000.0,47
362,51,123,62211,-63.054242,18.029467,-1.0,1233.0,106
362,51,123,62212,-63.050821,18.026404,-1.0,1000.0,26
362,51,123,62213,-63.05614,18.0243,-1.0,1000.0,37
362,51,123,62214,-63.054717,18.028858,-1.0,1000.0,72
362,51,123,64769,-63.079971,18.037729,-1.0,1005.0,75
362,51,123,64770,-63.081537,18.030229,-1.0,1000.0,12
362,51,123,64771,-63.091566,18.04229,-1.0,2703.0,50
362,51,123,64772,-63.081357,18.039169,-1.0,1000.0,5
362,51,123,64773,-63.080111,18.030412,-1.0,1000.0,44
362,51,123,64774,-63.090931,18.044799,-1.0,2893.0,35
362,51,123,72449,-63.121659,18.049077,-1.0,5398.0,13
362,51,123,72450,-63.135724,18.052296,-1.0,1000.0,5
362,51,123,72451,-63.135387,18.054541,-1.0,1000.0,1
362,51,123,256769,-63.033896,18.070974,-1.0,1000.0,8
362,51,123,512769,-63.040787,18.046139,-1.0,1000.0,1
362,51,123,512770,-63.053084,18.037372,-1.0,1617.0,49
362,51,123,512774,-63.056824,18.034999,-1.0,1000.0,3
362,51,123,563970,-63.050606,18.02655,-1.0,1387.0,55
362,51,123,563971,-63.03736,18.066929,-1.0,1000.0,2
362,51,123,768769,-63.077942,18.033232,-1.0,577.0,145
362,51,123,768770,-63.083667,18.030106,-1.0,3455.0,130
362,51,123,768771,-63.090646,18.040463,-1.0,1276.0,73
362,51,123,768772,-63.078015,18.032879,-1.0,1000.0,24
362,51,123,768773,-63.08349,18.029733,-1.0,1000.0,32
362,51,123,768774,-63.086825,18.036443,-1.0,1000.0,2
362,51,123,794369,-63.081217,18.035721,-1.0,1000.0,11
362,51,123,794370,-63.078378,18.034938,-1.0,1000.0,22
362,51,123,794371,-63.093307,18.042284,-1.0,2417.0,200
362,51,123,819969,-63.082481,18.031315,-1.0,1379.0,200
362,51,123,819970,-63.094449,18.036413,-1.0,1000.0,3
362,51,123,819971,-63.093101,18.03625,-1.0,1326.0,65
362,51,123,1024769,-63.059824,18.055184,-1.0,645.0,107
362,51,123,1024770,-63.062533,18.048407,-1.0,826.0,116
362,51,123,1024771,-63.062543,18.052807,-1.0,1000.0,37
362,51,123,1024772,-63.060102,18.055415,-1.0,610.0,111
362,51,123,1024773,-63.061663,18.050642,-1.0,1067.0,56
362,51,123,1024774,-63.062374,18.053016,-1.0,1000.0,13
362,51,123,1050369,-63.0637717844828,18.0410629396552,-1.0,2030.04310344828,116
362,51,123,1050370,-63.060193,18.034366,-1.0,3012.0,107
362,51,123,1050371,-63.065648,18.033858,-1.0,1000.0,59
362,51,123,1050372,-63.0637431315789,18.0418981052632,-1.0,1837.36842105263,76
362,51,123,1050373,-63.059699,18.034377,-1.0,1000.0,85
362,51,123,1050374,-63.065274,18.034501,-1.0,1000.0,19
362,51,123,1075969,-63.062788,18.054097,-1.0,1000.0,5
362,51,123,1075970,-63.0623920598291,18.0468665384615,-1.0,685.709401709402,117
362,51,123,1075971,-63.068684,18.051962,-1.0,1000.0,1
362,51,123,1075972,-63.059998,18.05109,-1.0,1000.0,26
362,51,123,1075973,-63.063032,18.048779,-1.0,1000.0,6
362,51,123,1100801,-63.063006,18.045816,-1.0,1000.0,25
362,51,123,1100802,-63.062695,18.042652,-1.0,1553.0,40
362,51,123,1101569,-63.061317,18.049555,-1.0,1009.0,102
362,51,123,1101570,-63.063146,18.043611,-1.0,1000.0,41
362,51,123,1101572,-63.06226,18.048712,-1.0,1000.0,5
362,51,123,1101573,-63.063454,18.044542,-1.0,1000.0,1
362,51,123,1280769,-63.0661168703704,18.0388180185185,-1.0,2370.14814814815,54
362,51,123,1280770,-63.06577,18.026834,-1.0,1000.0,21
362,51,123,1280771,-63.070331,18.029689,-1.0,500.0,100
362,51,123,1280772,-63.06702,18.033138,-1.0,1000.0,1
362,51,123,1280773,-63.065854,18.024551,-1.0,1000.0,79
362,51,123,1280774,-63.071196,18.031455,-1.0,1000.0,23
362,51,123,1306369,-63.042515,18.013579,-1.0,1000.0,10
362,51,123,1306370,-63.05831,18.022257,-1.0,1000.0,3
362,51,123,1306371,-63.060553,18.020888,-1.0,1000.0,39
362,51,123,1331969,-63.041159,18.022431,-1.0,1000.0,3
362,51,123,1331970,-63.042744,18.018157,-1.0,1000.0,15
362,51,123,1331971,-63.058972,18.021917,-1.0,1000.0,13
362,51,123,1357570,-63.030224,18.031832,-1.0,1000.0,2
362,51,123,1383173,-63.118863,18.039905,-1.0,1000.0,3
362,51,123,1408769,-63.09216,18.043325,-1.0,1329.0,100
362,51,123,1408770,-63.095797,18.03825,-1.0,1000.0,19
362,51,123,1408771,-63.099243,18.0401,-1.0,2838.0,136
362,51,123,1434369,-63.090285,18.04478,-1.0,1702.0,38
362,51,123,1434370,-63.1248,18.046302,-1.0,591.0,113
362,51,123,1434371,-63.128408,18.050122,-1.0,1000.0,50
362,51,123,1434372,-63.097172,18.059186,-1.0,2735.0,54
362,51,123,1434373,-63.124633,18.046296,-1.0,1000.0,16
362,51,123,1434374,-63.130487,18.051154,-1.0,1000.0,5
362,51,123,1459969,-63.113951,18.044706,-1.0,1000.0,11
362,51,123,1485569,-63.04403,18.02677,-1.0,1429.0,32
362,51,123,1485570,-63.057045,18.023981,-1.0,1000.0,1
362,51,123,1485571,-63.04565,18.026598,-1.0,1000.0,60
362,51,123,1485572,-63.043853,18.026143,-1.0,1000.0,24
362,51,123,1485573,-63.04168,18.022206,-1.0,1000.0,9
362,51,123,1485574,-63.052131,18.027191,-1.0,1025.0,53
362,51,123,1536769,-63.044353,18.03503,-1.0,1037.0,83
362,51,123,1536770,-63.043152,18.028426,-1.0,1285.0,66
362,51,123,1536771,-63.048146,18.026688,-1.0,1455.0,112
362,51,123,1536772,-63.04577,18.029666,-1.0,1096.0,11
362,51,123,1536773,-63.043857,18.027659,-1.0,1000.0,42
362,51,123,1536774,-63.047652,18.026487,-1.0,1000.0,73
362,51,123,1562369,-63.056603,18.022451,-1.0,2894.0,28
362,51,123,1562371,-63.061429,18.020095,-1.0,1000.0,12
362,51,123,1587969,-63.047886,18.034479,-1.0,1240.0,33
362,51,123,1587970,-63.058418,18.033666,-1.0,1609.0,97
362,51,123,1587971,-63.05758,18.03605,-1.0,1128.0,4
362,51,123,1587972,-63.047721,18.030117,-1.0,1000.0,5
362,51,123,1587973,-63.056231,18.031541,-1.0,1000.0,14
362,51,123,1587974,-63.068729,18.032497,-1.0,1000.0,1
362,51,123,1613569,-63.041685,18.037407,-1.0,1000.0,3
362,51,123,1613570,-63.03994,18.026026,-1.0,1000.0,2
362,51,123,1613571,-63.048692,18.036014,-1.0,2683.0,49
362,51,123,1613573,-63.042699,18.036604,-1.0,1000.0,6
362,51,123,1613574,-63.041121,18.027323,-1.0,1000.0,9
362,51,1111,501,-63.119661,18.044168,-1.0,2560.0,436
362,51,1111,502,-63.130874633789,18.048477172852,-1.0,1000.0,9
362,51,1111,511,-63.122598,18.042687,-1.0,1000.0,37
362,51,1111,513,-63.116899,18.043576,-1.0,2010.0,507
362,51,1111,1101,-63.11265,18.049758,-1.0,10557.0,2513
362,51,1111,1201,-63.087765,18.058102,-1.0,2807.0,1999
362,51,1111,1202,-63.103286,18.041398,-1.0,5121.0,1928
362,51,1111,1203,-63.106697,18.045294,-1.0,7387.0,1999
362,51,1111,1204,-63.112303,18.041807,-1.0,1690.0,105
362,51,1111,1211,-63.08986,18.045915,-1.0,4256.0,97
362,51,1111,1212,-63.099578,18.038105,-1.0,1000.0,38
362,51,1111,1213,-63.114774,18.043505,-1.0,2683.0,29
362,51,1111,1214,-63.121006,18.055628,-1.0,1929.0,33
362,51,1111,1301,-63.023758,18.07457,-1.0,1855.0,2
362,51,1111,1303,-63.025375,18.084914,-1.0,1000.0,2
362,51,1111,1402,-63.038864135742,18.012771606445,-1.0,1000.0,8
362,51,1111,1403,-63.044504,18.009022,-1.0,2986.0,62
362,51,1111,1501,-63.07556,18.063628,-1.0,2440.0,61
362,51,1111,1502,-63.062888,18.040238,-1.0,1060.0,9
362,51,1111,1511,-63.062897,18.040924,-1.0,1000.0,2
362,51,1111,1512,-63.064427,18.026133,-1.0,1739.0,19
362,51,1111,1601,-63.079273,18.037812,-1.0,5377.0,143
362,51,1111,1602,-63.058277,18.020028,-1.0,2081.0,72
362,51,1111,1603,-63.087977,18.032262,-1.0,1930.0,501
362,51,1111,1611,-63.064222,18.034137,-1.0,2655.0,43
362,51,1111,2001,-63.088388,18.036721,-1.0,5668.0,487
362,51,1111,2811,-63.133621,18.051718,-1.0,1000.0,25
362,51,1111,2812,-63.131001,18.055813,-1.0,2544.0,120
362,51,1111,2813,-63.134099,18.052842,-1.0,1074.0,112
362,51,1111,6002,-63.116466,18.063104,-1.0,1669.0,63
362,51,1111,10001,-63.033624,18.067188,-1.0,1557.0,16
362,51,1111,10002,-63.037737,18.057845,-1.0,1967.0,8
362,51,1111,20001,-63.039384,18.060839,-1.0,3556.0,31
362,51,1111,20002,-63.041302,18.050905,-1.0,1890.0,14
362,51,1111,20003,-63.051162,18.037285,-1.0,4566.0,181
362,51,1111,20011,-63.039598,18.061349,-1.0,1880.0,118
362,51,1111,20013,-63.051488,18.032341,-1.0,3672.0,52
362,51,1111,21001,-63.034058,18.071136,-1.0,1000.0,2
362,51,1111,21002,-63.053664,18.036958,-1.0,1000.0,4
362,51,1111,21003,-63.04573059082,18.064956665039,-1.0,1000.0,1
362,51,1111,30001,-63.081462,18.037011,-1.0,2443.0,211
362,51,1111,30002,-63.084167,18.033003,-1.0,997.0,137
362,51,1111,30003,-63.084311,18.036022,-1.0,5849.0,349
362,51,1111,30011,-63.080583,18.037785,-1.0,1441.0,140
362,51,1111,30012,-63.074121,18.025897,-1.0,1000.0,52
362,51,1111,30013,-63.087946,18.033121,-1.0,1415.0,154
362,51,1111,31001,-63.076698,18.035099,-1.0,3710.0,322
362,51,1111,31002,-63.078722,18.034649,-1.0,6439.0,529
362,51,1111,31003,-63.105932,18.042968,-1.0,3353.0,533
362,51,1111,32001,-63.092621,18.034938,-1.0,3994.0,467
362,51,1111,32002,-63.092078,18.033916,-1.0,672.0,139
362,51,1111,32003,-63.097793,18.037433,-1.0,8726.0,287
362,51,1111,40001,-63.062292,18.049145,-1.0,2701.0,6
362,51,1111,40002,-63.067852,18.032971,-1.0,2333.0,54
362,51,1111,40003,-63.062894,18.05195,-1.0,1000.0,3
362,51,1111,40012,-63.062705,18.044672,-1.0,1000.0,5
362,51,1111,41001,-63.063583374023,18.037490844727,-1.0,1000.0,4
362,51,1111,41002,-63.05031,18.030015,-1.0,1212.0,86
362,51,1111,41003,-63.06427,18.034744,-1.0,1000.0,2
362,51,1111,50001,-63.084977,18.037495,-1.0,5126.0,348
362,51,1111,50002,-63.045699,18.023616,-1.0,3069.0,312
362,51,1111,50003,-63.089412,18.046623,-1.0,11228.0,45
362,51,1111,50011,-63.048822,18.041843,-1.0,1910.0,121
362,51,1111,50012,-63.045958,18.024988,-1.0,1295.0,85
362,51,1111,50013,-63.089025,18.038338,-1.0,8848.0,42
362,51,1111,51001,-63.050239,18.015686,-1.0,1139.0,4
362,51,1111,51002,-63.060731,18.020755,-1.0,3898.0,62
362,51,1111,51003,-63.059399,18.021582,-1.0,2199.0,185
362,51,1111,52001,-63.040352,18.019981,-1.0,3284.0,12
362,51,1111,52002,-63.043442,18.02211,-1.0,1000.0,15
362,51,1111,53002,-63.04288,18.036052,-1.0,1554.0,533
362,51,1111,54002,-63.120169,18.042422,-1.0,2344.0,44
362,51,1111,55001,-63.089172,18.055961,-1.0,3041.0,1542
362,51,1111,55002,-63.093239,18.034571,-1.0,901.0,538
362,51,1111,55003,-63.107726,18.045225,-1.0,3667.0,297
362,51,1111,56002,-63.125327,18.049614,-1.0,8607.0,7233
362,51,1111,56003,-63.126962,18.049565,-1.0,4143.0,975
362,51,1111,56011,-63.086494,18.065221,-1.0,4989.0,1514
362,51,1111,56012,-63.129501,18.048477,-1.0,1000.0,3
362,51,1111,56013,-63.130055,18.049272,-1.0,1111.0,57
362,51,1111,57013,-63.113105,18.044357,-1.0,1000.0,33
362,51,1111,58011,-63.042915,18.024174,-1.0,1000.0,4
362,51,1111,58012,-63.044357299805,18.02375793457,-1.0,1000.0,1
362,51,1111,58013,-63.087424,18.034675,-1.0,5313.0,310
362,51,1111,60001,-63.075441,18.035414,-1.0,6758.0,1566
362,51,1111,60002,-63.0468,18.024982,-1.0,1205.0,112
362,51,1111,60003,-63.057362,18.025986,-1.0,972.0,119
362,51,1111,60011,-63.043952,18.035923,-1.0,1579.0,176
362,51,1111,60012,-63.045273,18.025368,-1.0,1000.0,59
362,51,1111,60013,-63.052369,18.0266,-1.0,1356.0,143
362,51,1111,61001,-63.046883,18.030162,-1.0,1750.0,6
362,51,1111,61002,-63.057163,18.025276,-1.0,2423.0,157
362,51,1111,61003,-63.053818,18.02433,-1.0,1239.0,44
362,51,1121,1402,-63.04573059082,18.010025024414,-1.0,1000.0,1
362,51,1121,10021,-63.026127,18.083633,-1.0,1000.0,40
362,51,1121,40002,-63.059734,18.050356,-1.0,1000.0,1
362,51,1121,50011,-63.051223754883,18.038864135742,-1.0,1000.0,1
362,51,1121,51003,-63.045811,18.027489,-1.0,1000.0,1
362,51,1121,62021,-63.027328,18.080063,-1.0,1000.0,5
362,51,1121,1075970,-63.059052,18.051571,-1.0,1000.0,1
362,51,1121,2729057,-63.042984008789,18.036117553711,-1.0,1000.0,2
362,51,1121,197329417,-63.119442,18.037909,-1.0,1000.0,1
362,51,1121,197329418,-63.118515014648,18.038864135742,-1.0,1000.0,1
362,51,1121,197329419,-63.118515014648,18.038864135742,-1.0,1000.0,1
362,51,1121,197329421,-63.115246,18.036873,-1.0,1000.0,1
362,51,1121,197329897,-63.041585,18.029795,-1.0,1000.0,6
362,51,1121,197329898,-63.041682,18.025165,-1.0,1000.0,9
362,51,1121,197329899,-63.043106,18.02582,-1.0,1000.0,16
362,51,1121,197329900,-63.038677,18.027479,-1.0,1000.0,1
362,51,1121,197329902,-63.044357,18.025818,-1.0,1000.0,2
362,51,1121,197330017,-63.07731628418,18.07731628418,-1.0,1000.0,1
362,51,1121,197330117,-63.093171,18.047326,-1.0,1000.0,3
