mcc,country,cells,longitude,latitude,urls
262,Germany,2878829,9.91388419155967,50.9307481002462,lacells-mcc_262_a.csv lacells-mcc_262_b.csv lacells-mcc_262_c.csv lacells-mcc_262_d.csv
620,Ghana,86985,-0.90273551696404,6.88949058504943,lacells-mcc_620.csv
266,Gibraltar,334,-5.3501769490558,36.1618236939091,lacells-mcc_266.csv
202,Greece,208788,23.305786237054,38.3197175224607,lacells-mcc_202.csv
290,Greenland,203,-51.5336535986975,64.432147327131,lacells-mcc_290.csv
352,Grenada,260,-61.7098408423821,12.056106924288,lacells-mcc_352.csv
704,Guatemala,90102,-90.5523398489162,14.719236457569,lacells-mcc_704.csv
611,Guinea,10453,-12.3606381556739,9.95505226540492,lacells-mcc_611.csv
632,Guinea-Bissau,1580,-15.6023982835873,11.8875314874792,lacells-mcc_632.csv
738,Guyana,1901,-58.1486551015278,6.75208282453843,lacells-mcc_738.csv
372,Haiti,4211,-72.3255510673497,18.7685208058976,lacells-mcc_372.csv
708,Honduras,43554,-87.2993439524236,14.4757247507388,lacells-mcc_708.csv
454,Hongkong,190672,114.133054246303,22.3634645695813,lacells-mcc_454.csv
216,Hungary,200491,18.9810436623928,47.3049759470997,lacells-mcc_216.csv
274,Iceland,13268,-20.3311127153057,64.5178759195268,lacells-mcc_274.csv
404,India,1816143,79.7307406593686,19.7288751024568,lacells-mcc_404_a.csv lacells-mcc_404_b.csv lacells-mcc_404_c.csv
405,India,690028,80.8644657524846,21.3887967212745,lacells-mcc_405.csv
510,Indonesia,1418487,108.227022862897,-5.68568526077102,lacells-mcc_510_a.csv lacells-mcc_510_b.csv
432,Iran,432138,51.7173962337524,35.2211182536962,lacells-mcc_432.csv
418,Iraq,52135,44.8955421784901,34.8254792489181,lacells-mcc_418.csv
272,Ireland,159979,-7.80370067104078,52.9691907459834,lacells-mcc_272.csv
425,"Israel / Palestine",195928,34.9170602492995,32.1259031533222,lacells-mcc_425.csv
222,Italy,1450617,10.8855497886824,44.1935855701923,lacells-mcc_222_a.csv lacells-mcc_222_b.csv
612,"Ivory Coast",92894,-4.86862013869488,6.29692366353976,lacells-mcc_612.csv
338,Jamaica,31558,-73.3725723549315,18.5204607086785,lacells-mcc_338.csv
440,Japan,1860096,137.6292270833,35.6759576322225,lacells-mcc_440_a.csv lacells-mcc_440_b.csv lacells-mcc_440_c.csv
441,Japan,2738,138.314760854736,35.3227140291193,lacells-mcc_441.csv
416,Jordan,81525,35.8095546966877,31.6350210632176,lacells-mcc_416.csv
401,Kazakhstan,154654,72.7489780529285,45.180856200277,lacells-mcc_401.csv
639,Kenya,102861,36.7763325555507,-1.14507375526819,lacells-mcc_639.csv
545,Kiribati,34,172.953625451746,1.35223863381594,lacells-mcc_545.csv
221,Kosovo,1199,21.0703468703293,42.6017782580869,lacells-mcc_221.csv
419,Kuwait,62525,48.0194540883127,29.2361977690723,lacells-mcc_419.csv
437,Kyrgyzstan,25027,74.6453816156558,42.8501699300578,lacells-mcc_437.csv
457,Laos,31682,103.619465122801,17.7120402376443,lacells-mcc_457.csv
247,Latvia,43785,24.5704640864555,56.854455252662,lacells-mcc_247.csv
415,Lebanon,35056,35.6401709017442,33.9716225348091,lacells-mcc_415.csv
651,Lesotho,2017,27.5844441283709,-29.2885859565825,lacells-mcc_651.csv
618,Liberia,3405,-10.6209162741065,6.32275581901616,lacells-mcc_618.csv
606,Libya,11228,13.9278469184377,32.2902480155325,lacells-mcc_606.csv
295,Liechtenstein,1540,9.4754148211998,47.1612635753036,lacells-mcc_295.csv
246,Lithuania,48690,24.283544917194,54.9422394574508,lacells-mcc_246.csv
270,Luxembourg,24084,6.13823827568462,49.6310203303306,lacells-mcc_270.csv
455,Macao,7318,113.554975129963,22.1667129639753,lacells-mcc_455.csv
294,Macedonia,18529,21.459483027544,41.4284862954207,lacells-mcc_294.csv
646,Madagascar,9535,47.4719149009131,-18.4643874378017,lacells-mcc_646.csv
650,Malawi,11006,34.6753287952287,-13.8233434690281,lacells-mcc_650.csv
502,Malaysia,530030,102.28494713737,3.61617270948082,lacells-mcc_502.csv
472,Maldives,2895,58.5728079426354,14.2854231875438,lacells-mcc_472.csv
610,Mali,32253,-7.23354359631419,13.026397711299,lacells-mcc_610.csv
278,Malta,16943,14.448237026307,35.919615588277,lacells-mcc_278.csv
551,"Marshall Islands",18,171.371234886572,7.09291079829101,lacells-mcc_551.csv
609,Mauritania,3452,-17.6421831794498,18.685089557829,lacells-mcc_609.csv
617,Mauritius,13752,57.5761648028117,-20.2605429478112,lacells-mcc_617.csv
334,Mexico,1204261,-102.506685848291,22.9756587189503,lacells-mcc_334_a.csv lacells-mcc_334_b.csv
259,Moldova,26887,28.5711318281998,47.2077802855337,lacells-mcc_259.csv
212,Monaco,1048,13.8501691721391,43.1356715168527,lacells-mcc_212.csv
428,Mongolia,7825,105.232863130729,48.0576594078745,lacells-mcc_428.csv
297,Montenegro,9927,19.1180736985522,42.4649290789379,lacells-mcc_297.csv
354,Montserrat,21,-62.2016120560656,16.7852586369969,lacells-mcc_354.csv
604,Morocco,178645,-7.23765696804191,33.4060928262549,lacells-mcc_604.csv
643,Mozambique,65497,37.5603125441109,-17.9657756910824,lacells-mcc_643.csv
414,Myanmar,40473,96.1854864611053,18.1010131357102,lacells-mcc_414.csv
649,Namibia,7772,16.3729467124065,-21.572653178769,lacells-mcc_649.csv
429,Nepal,22016,84.4943840146632,27.7126087383684,lacells-mcc_429.csv
204,Netherlands,558177,5.19549982902168,52.0127856407618,lacells-mcc_204.csv
362,"Netherlands Antilles",3147,-67.0426966575287,14.04891295609,lacells-mcc_362.csv
546,"New Caledonia",2327,166.268471457479,-22.0277746900713,lacells-mcc_546.csv
530,"New Zealand",97898,174.576549298932,-38.9187828945621,lacells-mcc_530.csv
710,Nicaragua,32489,-86.1822382203439,12.2522871685253,lacells-mcc_710.csv
614,Niger,8200,3.50114369177473,13.8297754205964,lacells-mcc_614.csv
621,Nigeria,234748,5.07372814545916,6.65836907743897,lacells-mcc_621.csv
555,Niue,7,-169.91041637444,-19.0492850745721,lacells-mcc_555.csv
467,"North Korea",1,-99.692486,19.255511,lacells-mcc_467.csv
242,Norway,181020,10.3653629459924,61.5581582314412,lacells-mcc_242.csv
422,Oman,31292,57.7612842945308,23.1257272317992,lacells-mcc_422.csv
410,Pakistan,139114,71.3984010183576,30.7210237096825,lacells-mcc_410.csv
552,Palau,49,134.485292566382,7.356262683295,lacells-mcc_552.csv
714,Panama,78111,-80.1881269468818,8.92066109337798,lacells-mcc_714.csv
537,"Papua New Guinea",1846,146.822826144603,-6.89494926836876,lacells-mcc_537.csv
744,Paraguay,58081,-57.3823914081448,-24.8357777579016,lacells-mcc_744.csv
716,Peru,219493,-76.7610623018275,-11.0961011708552,lacells-mcc_716.csv
515,Philippines,286908,122.783198910102,11.8118499740906,lacells-mcc_515.csv
260,Poland,1387849,18.7967297826871,51.7222705954597,lacells-mcc_260_a.csv lacells-mcc_260_b.csv
268,Portugal,176948,-9.1550567854598,38.9902724410628,lacells-mcc_268.csv
330,"Puerto Rico",19499,-66.1031474720768,18.3221829522832,lacells-mcc_330.csv
427,Qatar,48305,51.4779182939574,25.257330423834,lacells-mcc_427.csv
647,Reunion,17307,47.2179120711693,-14.3615476100816,lacells-mcc_647.csv
226,Romania,242262,24.8492464597746,45.5859124100636,lacells-mcc_226.csv
250,Russia,2329599,47.0785585116706,55.0923389282865,lacells-mcc_250_a.csv lacells-mcc_250_b.csv lacells-mcc_250_c.csv
635,Rwanda,7015,29.8254536557666,-2.08360263142374,lacells-mcc_635.csv
356,"Saint Kitts and Nevis",324,-62.7145075806027,17.3552974551735,lacells-mcc_356.csv
358,"Saint Lucia",394,-60.9723627219685,13.9166134326808,lacells-mcc_358.csv
308,"Saint Pierre and Miquelon",13,-56.1056397230256,46.8699533837597,lacells-mcc_308.csv
360,"Saint Vincent and the Grenadines",213,-61.2129333050147,13.1380414670572,lacells-mcc_360.csv
549,Samoa,3682,-171.855281740585,-13.8264546205641,lacells-mcc_549.csv
292,"San Marino",57,12.4582728620458,43.9541398036167,lacells-mcc_292.csv
626,"Sao Tome and Principe",153,6.70310799609197,0.328203977985983,lacells-mcc_626.csv
420,"Saudi Arabia",385227,43.7052392390754,23.7705466519368,lacells-mcc_420.csv
608,Senegal,44977,-17.0339667318033,14.6821439662313,lacells-mcc_608.csv
220,Serbia,70299,20.3658537906805,44.5888238143116,lacells-mcc_220.csv
633,Seychelles,983,55.4612020902119,-4.64978241195196,lacells-mcc_633.csv
619,"Sierra Leone",1835,-13.0433634211291,8.43293214517092,lacells-mcc_619.csv
525,Singapore,128010,103.839667832393,1.34015784799908,lacells-mcc_525.csv
231,Slovakia,84240,18.5611256967228,48.5149469714922,lacells-mcc_231.csv
293,Slovenia,52323,14.550982286714,46.1105045981171,lacells-mcc_293.csv
540,"Solomon Islands",111,159.971890768854,-9.42296709701636,lacells-mcc_540.csv
637,Somalia,7193,45.8369716493007,4.73104839021576,lacells-mcc_637.csv
655,"South Africa",570326,28.0839123132212,-28.2957501483968,lacells-mcc_655.csv
450,"South Korea",867362,127.541520032863,36.5640075347426,lacells-mcc_450_a.csv lacells-mcc_450_b.csv
659,"South Sudan",2433,31.1981748444731,5.24697601650568,lacells-mcc_659.csv
214,Spain,1028003,-3.03205841860365,39.2787557155578,lacells-mcc_214_a.csv lacells-mcc_214_b.csv
413,"Sri Lanka",50187,80.0447899309634,7.06520320284439,lacells-mcc_413.csv
634,Sudan,15264,32.3738925787173,15.4373119679924,lacells-mcc_634.csv
746,Suriname,8693,-55.3043464611118,5.77953803898629,lacells-mcc_746.csv
653,Swaziland,2180,31.3617346673673,-26.5398640516665,lacells-mcc_653.csv
240,Sweden,490664,16.0227595660139,58.9810470984003,lacells-mcc_240.csv
228,Switzerland,274474,7.81772101247307,47.0189659755347,lacells-mcc_228.csv
417,Syria,16490,36.6310089375865,34.3663104790745,lacells-mcc_417.csv
466,Taiwan,484593,121.045003105607,24.3998550347705,lacells-mcc_466.csv
436,Tajikistan,11573,69.3896369361473,38.7729980688832,lacells-mcc_436.csv
640,Tanzania,157770,35.5573768231707,-5.30288236600055,lacells-mcc_640.csv
520,Thailand,1307974,100.776716133383,13.7408801332264,lacells-mcc_520_a.csv lacells-mcc_520_b.csv
615,Togo,8266,1.48526277099924,6.48885118608247,lacells-mcc_615.csv
539,Tonga,58,-175.139415467919,-21.1578586972895,lacells-mcc_539.csv
374,"Trinidad and Tobago",24108,-61.4217612948578,10.5038430915504,lacells-mcc_374.csv
605,Tunisia,72530,10.2501190331775,36.1217201121561,lacells-mcc_605.csv
