mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
746,0,103,11213,-55.2715102,5.0601197,-1.0,2703.0,48
746,0,103,12472,-55.2789476,5.0574406,-1.0,6478.0,38
746,0,103,12473,-55.2727169,5.0610704,-1.0,784.0,10
746,0,103,12492,-55.382121,4.9318727,-1.0,500.0,5
746,0,103,12493,-55.3171765,5.0280185,-1.0,12837.0,259
746,0,103,12494,-55.2983886,5.044286,-1.0,4443.0,49
746,0,103,12621,-55.3478164,4.9956125,-1.0,9525.0,344
746,0,103,12622,-55.3575196,4.978112,-1.0,14261.0,1726
746,0,103,12822,-55.3818204,4.9319849,-1.0,500.0,12
746,0,205,10223,-56.9941125,5.9472927,-1.0,944.0,20
746,0,205,10382,-56.8488512,5.8591012,-1.0,500.0,7
746,0,205,11631,-56.9998369,5.949115,-1.0,500.0,3
746,0,205,11931,-56.3797474,5.8958038,-1.0,500.0,3
746,0,205,12021,-56.849063,5.859105,-1.0,500.0,2
746,0,205,12022,-56.8486481,5.8591763,-1.0,500.0,15
746,0,205,12042,-56.2763515,5.8626828,-1.0,1374.0,6
746,0,205,12052,-55.9965595,5.7803988,-1.0,1350.0,13
746,0,205,12112,-56.3797604,5.8958097,-1.0,500.0,3
746,0,205,12271,-56.26656,5.860835,-1.0,500.0,1
746,0,205,12272,-56.379805,5.89578,-1.0,500.0,1
746,0,205,12273,-56.335114,5.8820583,-1.0,500.0,3
746,0,205,13101,-56.999848,5.9491608,-1.0,500.0,2
746,0,600,10041,-55.998588,5.78105,-1.0,500.0,4
746,2,1,1890,-55.15754699707,5.8344268798828,-1.0,1000.0,1
746,2,101,1134,-54.061660766602,5.5007171630859,-1.0,1000.0,1
746,2,101,1493,-55.042190551758,5.8783721923828,-1.0,1000.0,10
746,2,101,1731,-55.090255737305,5.8852386474609,-1.0,1000.0,1
746,2,101,10021,-54.0600523684211,5.50431759210526,-1.0,2986.60526315789,38
746,2,101,10022,-54.0634302,5.47392731428571,-1.0,5315.14285714286,21
746,2,101,10023,-54.083633422852,5.5048370361328,-1.0,1000.0,2
746,2,101,11041,-54.4003067040388,5.61335727722132,-1.0,5862.4943457189,619
746,2,101,11042,-54.4106565681633,5.60586130040816,-1.0,9091.03265306122,735
746,2,101,11043,-54.420776,5.605774,-1.0,1000.0,2
746,2,101,11581,-55.083389282227,5.8852386474609,-1.0,1000.0,5
746,2,101,11861,-54.2390197538462,5.58127304835165,-1.0,5857.34065934066,91
746,2,101,11862,-54.358169,5.596228,-1.0,4842.0,6
746,2,101,11871,-54.0520938,5.5081169,-1.0,1098.0,31
746,2,101,11872,-54.049752529834,5.4812526918457,-1.0,5065.75,4
746,2,101,11873,-54.068688235,5.49888039,-1.0,2664.9,40
746,2,101,11911,-54.439880604914,5.60544797051597,-1.0,8350.97788697789,407
746,2,101,11912,-54.540916,5.620406,-1.0,3538.0,3
746,2,101,11971,-54.9219292,5.7816332,-1.0,16094.0,110
746,2,101,11972,-54.9680934,5.7853017,-1.0,8728.0,182
746,2,101,12141,-54.4342224,5.4700492,-1.0,4826.0,10
746,2,101,12142,-54.4192824146109,5.57054068715695,-1.0,6954.66666666667,78
746,2,101,12151,-54.440231,5.60875,-1.0,2612.0,3
746,2,101,12152,-54.661789,5.711288,-1.0,1000.0,3
746,2,101,12251,-54.8189708885714,5.77148892142857,-1.0,14739.3357142857,280
746,2,101,12252,-54.8807614516129,5.78043316129032,-1.0,12337.7096774194,62
746,2,101,12291,-54.7081973955056,5.74576055280899,-1.0,7882.16853932584,267
746,2,101,12292,-54.8556174235808,5.77220147860262,-1.0,18775.0524017467,458
746,2,101,12391,-54.094619750977,5.5089569091797,-1.0,1000.0,1
746,2,101,12392,-54.1624292,5.552828,-1.0,500.0,2
746,2,101,13071,-54.3985433679437,5.61531913402658,-1.0,3336.41025641026,273
746,2,101,13072,-54.3956392,5.6125467,-1.0,6437.0,20
746,2,101,13073,-54.3995895556886,5.60689270538922,-1.0,4201.14171656687,501
746,2,101,13272,-54.0333666,5.4956674,-1.0,2831.0,2
746,2,101,13433,-54.4208167,5.3648467,-1.0,500.0,3
746,2,101,13531,-54.1966816,5.5719525,-1.0,500.0,2
746,2,101,13532,-54.245681762695,5.5817413330078,-1.0,1000.0,1
746,2,101,13621,-54.678612,5.729027,-1.0,1159.0,4
746,2,101,13622,-54.6692458550249,5.7197331880395,-1.0,10460.3776223776,143
746,2,102,1014,-55.22346496582,5.7794952392578,-1.0,1000.0,1
746,2,102,1022,-55.150680541992,5.8248138427734,-1.0,1000.0,2
746,2,102,1031,-55.15754699707,5.8261871337891,-1.0,1000.0,1
746,2,102,1032,-55.190505981445,5.8097076416016,-1.0,1000.0,338
746,2,102,1033,-55.206985,5.819713,-1.0,1000.0,14
746,2,102,1041,-55.139694213867,5.8522796630859,-1.0,1000.0,2
746,2,102,1072,-55.151404,5.824879,-1.0,1000.0,148
746,2,102,1081,-55.216598510742,5.8481597900391,-1.0,1000.0,2
746,2,102,1082,-55.220718383789,5.8344268798828,-1.0,1000.0,3
746,2,102,1083,-55.220718,5.8461,-1.0,1000.0,2
746,2,102,1091,-55.1548,5.848846,-1.0,1000.0,4
746,2,102,1223,-55.190071,5.810645,-1.0,1000.0,82
746,2,102,1251,-55.195999145508,5.8522796630859,-1.0,1000.0,1
746,2,102,1261,-55.173874,5.837021,-1.0,1000.0,9
746,2,102,1263,-55.190506,5.809845,-1.0,1000.0,30
746,2,102,1332,-55.160882,5.824814,-1.0,1000.0,7
746,2,102,1341,-55.143584,5.829051,-1.0,1000.0,317
746,2,102,1342,-55.149519,5.826927,-1.0,1000.0,13
746,2,102,1343,-55.147345,5.828149,-1.0,1000.0,14
746,2,102,1431,-55.190506,5.809727,-1.0,1000.0,72
746,2,102,1451,-55.15086,5.824814,-1.0,1000.0,23
746,2,102,2021,-55.150921,5.824814,-1.0,1000.0,160
746,2,102,2031,-55.15754699707,5.8261871337891,-1.0,1000.0,1
746,2,102,2032,-55.190506,5.809791,-1.0,1000.0,66
746,2,102,2033,-55.206985,5.821518,-1.0,1000.0,5
746,2,102,2071,-55.156182,5.826714,-1.0,1393.0,349
746,2,102,2072,-55.152541,5.824901,-1.0,1000.0,79
746,2,102,2073,-55.158597,5.825702,-1.0,1000.0,17
746,2,102,2074,-55.158234,5.825844,-1.0,1000.0,4
746,2,102,2082,-55.220718383789,5.8344268798828,-1.0,1000.0,2
746,2,102,2083,-55.220718,5.8461,-1.0,1000.0,4
746,2,102,2223,-55.190505981445,5.8097076416016,-1.0,1000.0,20
746,2,102,2251,-55.171279907227,5.8509063720703,-1.0,1000.0,1
746,2,102,2252,-55.173111,5.849304,-1.0,1349.0,6
746,2,102,2253,-55.195999145508,5.8522796630859,-1.0,1000.0,1
746,2,102,2261,-55.174026489258,5.8358001708984,-1.0,1000.0,2
746,2,102,2263,-55.180618,5.828934,-1.0,1000.0,5
746,2,102,2341,-55.145874,5.830969,-1.0,608.0,4456
746,2,102,2342,-55.145894,5.825638,-1.0,1213.0,559
746,2,102,2343,-55.146943,5.828568,-1.0,1000.0,169
746,2,102,2451,-55.151505,5.825089,-1.0,1000.0,10
746,2,102,2521,-55.152053833008,5.8261871337891,-1.0,1000.0,16
746,2,102,2522,-55.156173706055,5.8289337158203,-1.0,1000.0,5
746,2,102,2531,-55.139694213867,5.8316802978516,-1.0,1000.0,5
746,2,102,2532,-55.139694213867,5.8316802978516,-1.0,1000.0,3
746,2,102,2542,-55.174026,5.837173,-1.0,1000.0,2
746,2,102,4011,-55.140167,5.831012,-1.0,1000.0,3
746,2,102,4013,-55.182297,5.823488,-1.0,1000.0,3
746,2,102,4032,-55.106403,5.853025,-1.0,1000.0,3
746,2,102,4033,-55.108215,5.862487,-1.0,1000.0,3
746,2,102,4041,-55.135147,5.831905,-1.0,1000.0,3
746,2,102,4042,-55.146217,5.829143,-1.0,1000.0,3
746,2,102,4043,-55.138035,5.833291,-1.0,1000.0,3
746,2,102,4061,-55.140156,5.831013,-1.0,1000.0,3
746,2,102,4062,-55.152241,5.83189,-1.0,1000.0,3
746,2,102,4072,-55.156727,5.85246,-1.0,1000.0,3
746,2,102,4161,-55.140202,5.830995,-1.0,1000.0,3
746,2,102,4200,-55.119823,5.8407,-1.0,1000.0,3
746,2,102,4201,-55.124863,5.846652,-1.0,1000.0,3
746,2,102,4210,-55.194527,5.81466,-1.0,1000.0,3
746,2,102,4239,-55.142151,5.868374,-1.0,1000.0,3
746,2,102,4240,-55.128887,5.859017,-1.0,1000.0,3
746,2,102,4280,-55.173138,5.821508,-1.0,1000.0,3
746,2,102,4281,-55.180878,5.820588,-1.0,1000.0,3
746,2,102,4289,-55.183975,5.81729,-1.0,1000.0,3
746,2,102,4290,-55.179829,5.812253,-1.0,1000.0,3
746,2,102,4291,-55.188004,5.81213,-1.0,1000.0,3
746,2,102,4355,-55.115337,5.850043,-1.0,1000.0,3
746,2,102,4369,-55.138489,5.839001,-1.0,1000.0,3
746,2,102,4418,-55.137505,5.833348,-1.0,1000.0,3
746,2,102,4419,-55.143841,5.833825,-1.0,1000.0,3
746,2,102,4428,-55.184673,5.838334,-1.0,1000.0,3
746,2,102,4429,-55.107937,5.85272,-1.0,1000.0,3
746,2,102,4430,-55.123615,5.851508,-1.0,1000.0,3
746,2,102,4431,-55.119843,5.853552,-1.0,1000.0,3
746,2,102,4435,-55.162384,5.859123,-1.0,1000.0,3
746,2,102,4437,-55.146961,5.845137,-1.0,1000.0,3
746,2,102,4441,-55.165009,5.831956,-1.0,1000.0,3
746,2,102,4447,-55.152397,5.837275,-1.0,1000.0,3
746,2,102,4449,-55.190956,5.83205,-1.0,1000.0,3
746,2,102,4458,-55.171764,5.809232,-1.0,1000.0,3
746,2,102,4484,-55.147949,5.84262,-1.0,1000.0,3
746,2,102,4497,-55.19146,5.820113,-1.0,1000.0,3
746,2,102,4499,-55.202118,5.831738,-1.0,1000.0,3
746,2,102,4508,-55.184093,5.817297,-1.0,1000.0,3
746,2,102,4528,-55.138016,5.833293,-1.0,1000.0,3
746,2,102,4537,-55.113518,5.866072,-1.0,1000.0,3
746,2,102,4539,-55.132107,5.876509,-1.0,1000.0,3
746,2,102,4547,-55.173126,5.836707,-1.0,1000.0,3
746,2,102,4549,-55.140182,5.831014,-1.0,1000.0,3
746,2,102,4597,-55.169472,5.751103,-1.0,1000.0,3
746,2,102,4617,-55.15696,5.829732,-1.0,1000.0,3
746,2,102,4618,-55.140156,5.831013,-1.0,1000.0,3
746,2,102,4619,-55.15707,5.829637,-1.0,1000.0,3
746,2,102,4637,-55.138016,5.833293,-1.0,1000.0,3
746,2,102,4715,-55.134174,5.848665,-1.0,1000.0,3
746,2,102,4717,-55.128082,5.860667,-1.0,1000.0,3
746,2,102,4741,-55.180187,5.83474,-1.0,1000.0,3
746,2,102,4742,-55.180096,5.829248,-1.0,1000.0,3
746,2,102,4743,-55.189507,5.840822,-1.0,1000.0,3
746,2,102,4934,-55.140156,5.831013,-1.0,1000.0,3
746,2,102,4935,-55.149803,5.848264,-1.0,1000.0,3
746,2,102,7081,-55.159142,5.831543,-1.0,1000.0,3
746,2,102,7082,-55.165581,5.82649,-1.0,1000.0,3
746,2,102,7919,-55.137268,5.83345,-1.0,1000.0,3
746,2,102,7920,-55.125523,5.83648,-1.0,1000.0,3
